Product Name,Colors,Pic Urls,Care Infor
Cotton-piqué polo shirt with color-blocking,Dark Blue;Yellow;Light Red,"https://images.hugoboss.com/is/image/boss/hbeu50466694_413_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466694_413_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466694_413_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466694_413_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466694_413_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466694_413_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466694_730_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466694_630_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466694_413_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Reduced Dry Clean;careinstructioncode.000369
Stretch-cotton slim-fit polo shirt with logo patch,Red;Orange;Yellow;Light Blue;Blue;Light Beige;White,"https://images.hugoboss.com/is/image/boss/hbeu50472668_623_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50472668_623_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50472668_623_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50472668_623_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50472668_623_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472668_623_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472668_815_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472668_730_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472668_487_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472668_421_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472668_271_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472668_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472668_623_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Reduced Dry Clean;Wash inside out with similar colors and mild detergent. Hang to dry and iron inside out.
Organic-cotton polo shirt with sun-bleached effect,Dark Blue;Light Beige;Black,"https://images.hugoboss.com/is/image/boss/hbeu50468549_415_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_415_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_415_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_415_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_415_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_415_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_271_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_415_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;Wash inside out with similar colors and mild detergent. Hang to dry and iron inside out.
Fine-piqué polo shirt with contrast details,Black;Dark Blue;White;Light Grey,"https://images.hugoboss.com/is/image/boss/hbeu50468843_001_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_001_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_001_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_001_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_050_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_001_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;careinstructioncode.000369
Cotton-piqué polo shirt with color-blocking,Light Red;Yellow;Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50466694_630_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466694_630_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466694_630_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466694_630_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466694_630_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466694_630_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466694_730_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466694_413_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466694_630_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Reduced Dry Clean;careinstructioncode.000369
Fine-piqué polo shirt with contrast details,Dark Blue;White;Light Grey;Black,"https://images.hugoboss.com/is/image/boss/hbeu50468843_404_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_404_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_404_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_404_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_050_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_404_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;careinstructioncode.000369
Fine-piqué polo shirt with contrast details,White;Dark Blue;Light Grey;Black,"https://images.hugoboss.com/is/image/boss/hbeu50468843_100_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_100_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_100_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_100_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_050_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_100_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;careinstructioncode.000369
Fine-piqué polo shirt with contrast details,Light Grey;Dark Blue;White;Black,"https://images.hugoboss.com/is/image/boss/hbeu50468843_050_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_050_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_050_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_050_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468843_050_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_050_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468843_050_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;careinstructioncode.000369
Slim-fit polo shirt with gloss-effect logo,Turquoise;Dark Blue;White,"https://images.hugoboss.com/is/image/boss/hbeu50466070_440_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466070_440_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466070_440_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466070_440_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466070_440_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466070_440_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466070_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466070_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466070_440_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;careinstructioncode.000373
Henley-neckline polo shirt in a cotton blend,White;Black,"https://images.hugoboss.com/is/image/boss/hbeu50474090_100_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474090_100_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474090_100_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474090_100_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474090_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474090_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474090_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474090_100_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;careinstructioncode.000373
Organic-cotton polo shirt with sun-bleached effect,Black;Dark Blue;Light Beige,"https://images.hugoboss.com/is/image/boss/hbeu50468549_001_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_001_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_001_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_001_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_415_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_271_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_001_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;Wash inside out with similar colors and mild detergent. Hang to dry and iron inside out.
Slim-fit polo shirt in cotton and silk,Turquoise;Dark Red,"https://images.hugoboss.com/is/image/boss/hbeu50466379_440_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466379_440_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466379_440_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466379_440_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50466379_440_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466379_440_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466379_606_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50466379_440_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Reduced Dry Clean;careinstructioncode.000419
Henley-neckline polo shirt in a cotton blend,Black;White,"https://images.hugoboss.com/is/image/boss/hbeu50474090_001_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474090_001_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474090_001_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474090_001_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474090_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474090_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474090_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474090_001_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;careinstructioncode.000373
Organic-cotton polo shirt with sun-bleached effect,Light Beige;Dark Blue;Black,"https://images.hugoboss.com/is/image/boss/hbeu50468549_271_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_271_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_271_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_271_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468549_271_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_271_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_415_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468549_271_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;Wash inside out with similar colors and mild detergent. Hang to dry and iron inside out.
Regular-fit shirt in mercerized-cotton jersey,Dark Blue;White,"https://images.hugoboss.com/is/image/boss/hbeu50467136_404_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467136_404_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467136_404_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467136_404_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467136_404_341?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467136_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467136_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467136_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467136_404_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;careinstructioncode.000369
Cotton-blend polo shirt with chest logo,White;Yellow;Red;Dark Blue;Black,"https://images.hugoboss.com/is/image/boss/hbeu50474089_100_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_100_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_100_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_100_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_730_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_626_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_100_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Reduced Dry Clean;Wash inside out with similar colors and mild detergent. Hang to dry and iron inside out.
Cotton-blend polo shirt with chest logo,Black;Yellow;Red;Dark Blue;White,"https://images.hugoboss.com/is/image/boss/hbeu50474089_001_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_001_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_001_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_001_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_730_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_626_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_001_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Reduced Dry Clean;Wash inside out with similar colors and mild detergent. Hang to dry and iron inside out.
Cotton-blend polo shirt with chest logo,Dark Blue;Yellow;Red;White;Black,"https://images.hugoboss.com/is/image/boss/hbeu50474089_404_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_404_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_404_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_404_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50474089_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_730_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_626_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50474089_404_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Reduced Dry Clean;Wash inside out with similar colors and mild detergent. Hang to dry and iron inside out.
Slim-fit polo shirt in mercerized patterned cotton,Blue;Dark Blue;Black,"https://images.hugoboss.com/is/image/boss/hbeu50467099_439_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467099_439_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467099_439_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467099_439_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467099_439_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467099_439_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467099_413_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467099_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467099_439_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Reduced Dry Clean;careinstructioncode.000369
Interlock-cotton slim-fit polo shirt with printed logo,Dark Blue;Blue;White;Black,"https://images.hugoboss.com/is/image/boss/hbeu50472013_404_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50472013_404_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50472013_404_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50472013_404_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50472013_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472013_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472013_439_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472013_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472013_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50472013_404_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;careinstructioncode.000373
