Product Name,Colors,Pic Urls,Care Infor
Slim-fit shirt in structured cotton jersey,White;Light Blue;Grey,"https://images.hugoboss.com/is/image/boss/hbeu50469802_100_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469802_100_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469802_100_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469802_100_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469802_100_341?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469802_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50469802_100_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50469802_450_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50469802_030_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50469802_100_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Dry Clean Only;careinstructioncode.000339
Slim-fit regular-rise jeans in lightweight denim,Light Beige,"https://images.hugoboss.com/is/image/boss/hbeu50467676_271_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467676_271_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467676_271_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467676_271_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467676_271_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467676_271_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467676_271_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467676_271_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Medium Heat;Do Not Dry Clean;careinstructioncode.000480
Packable slim-fit polo shirt in performance-stretch mesh,Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50465964_402_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50465964_402_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50465964_402_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Do Not Dry Clean;careinstructioncode.000373
Two-pack of socks in a mercerized-cotton blend,Grey;Dark Blue,"https://images.hugoboss.com/is/image/boss/hbeu50467713_031_200?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467713_031_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467713_031_250?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467713_031_200?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467713_404_200?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467713_031_200?$large$=&fit=crop,1&align=1,1",Machine Wash Warm;Do Not Bleach;Tumble Dry Low Heat;Do Not Iron;Do Not Dry Clean
Two-pack of socks in a mercerized-cotton blend,Dark Blue;Grey,"https://images.hugoboss.com/is/image/boss/hbeu50467713_404_200?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467713_404_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467713_404_250?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467713_404_200?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467713_031_200?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467713_404_200?$large$=&fit=crop,1&align=1,1",Machine Wash Warm;Do Not Bleach;Tumble Dry Low Heat;Do Not Iron;Do Not Dry Clean
Three-pack of short socks with stripes and logo,Patterned,"https://images.hugoboss.com/is/image/boss/hbeu50469371_961_200?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469371_961_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469371_961_250?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469371_961_200?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50469371_961_200?$large$=&fit=crop,1&align=1,1",Machine Wash Warm;Do Not Bleach;Tumble Dry Low Heat;Do Not Iron;Do Not Dry Clean
Slim-fit jeans in gray stone-washed stretch denim,Grey,"https://images.hugoboss.com/is/image/boss/hbeu50468711_033_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468711_033_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468711_033_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468711_033_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468711_033_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468711_033_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468711_033_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468711_033_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Medium Heat;Do Not Dry Clean;careinstructioncode.000480
Slim-fit chinos in stretch-cotton gabardine,Dark Blue;Dark Red;Dark Blue;Light Beige;Black,"https://images.hugoboss.com/is/image/boss/hbeu50468723_413_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468723_413_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468723_413_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468723_413_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468723_413_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50468723_413_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468723_413_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468723_606_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468723_404_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468723_294_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468723_001_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50468723_413_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Dry Clean Only;careinstructioncode.000347
Slim-fit shorts in stretch fabric with zip pocket,Grey;Dark Blue;Beige,"https://images.hugoboss.com/is/image/boss/hbeu50457005_032_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457005_032_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457005_032_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457005_032_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457005_032_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50457005_032_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50457005_032_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50457005_402_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50457005_268_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50457005_032_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Low Heat;Dry Clean Only;careinstructioncode.000480
Slim-fit jeans in blue Italian cashmere-touch denim,Dark Grey,"https://images.hugoboss.com/is/image/boss/hbeu50467634_012_350?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467634_012_300?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467634_012_360?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467634_012_340?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467634_012_240?$large$=&fit=crop,1&align=1,1;https://images.hugoboss.com/is/image/boss/hbeu50467634_012_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467634_012_100?$large$=&fit=crop,1&align=1,1&extendN=0.05,0.05,0.05,0.05;https://images.hugoboss.com/is/image/boss/hbeu50467634_012_350?$large$=&fit=crop,1&align=1,1",Machine Wash Cold Gentle;Do Not Bleach;Do Not Tumble Dry;Iron Medium Heat;Do Not Dry Clean;careinstructioncode.000480
